input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 3, 4]",1,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]']",0.00013997
"[1, 2, 4, 3]",1,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]']",8.372e-05
"[1, 3, 2, 4]",1,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]']",7.707e-05
"[1, 3, 4, 2]",1,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]']",8.357e-05
"[1, 4, 2, 3]",1,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]']",7.619e-05
"[1, 4, 3, 2]",1,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]']",7.608e-05
"[2, 1, 3, 4]",1,"['[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]']",0.00010822
"[2, 1, 4, 3]",1,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]']",7.728e-05
"[2, 3, 1, 4]",1,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]']",8.214e-05
"[2, 3, 4, 1]",1,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]']",7.756e-05
"[2, 4, 1, 3]",1,"['[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]']",7.689e-05
"[2, 4, 3, 1]",1,"['[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]']",7.508e-05
"[3, 1, 2, 4]",1,"['[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",7.678e-05
"[3, 1, 4, 2]",1,"['[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",7.537e-05
"[3, 2, 1, 4]",1,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]']",7.609e-05
"[3, 2, 4, 1]",1,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",7.636e-05
"[3, 4, 1, 2]",1,"['[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",7.557e-05
"[3, 4, 2, 1]",1,"['[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",7.751e-05
"[4, 1, 2, 3]",1,"['[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",7.579e-05
"[4, 1, 3, 2]",1,"['[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]']",7.937e-05
"[4, 2, 1, 3]",1,"['[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",7.619e-05
"[4, 2, 3, 1]",1,"['[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",7.473e-05
"[4, 3, 1, 2]",1,"['[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",7.921e-05
"[4, 3, 2, 1]",1,"['[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",7.56e-05
"[1, 2, 4, 3]-[3, 2, 1, 4]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00033191
"[1, 2, 4, 3]-[3, 1, 2, 4]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00026603
"[3, 2, 1, 4]-[4, 3, 2, 1]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00027238
"[2, 4, 3, 1]-[4, 3, 2, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00025622
"[2, 3, 1, 4]-[3, 4, 1, 2]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00031488
"[1, 3, 2, 4]-[2, 3, 4, 1]",2,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]']",0.00031663
"[1, 2, 4, 3]-[2, 3, 1, 4]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]']",0.0002736
"[2, 4, 1, 3]-[3, 4, 2, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.0003341
"[1, 2, 3, 4]-[4, 3, 1, 2]",2,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.000344
"[1, 3, 4, 2]-[2, 3, 4, 1]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]']",0.00036889
"[3, 1, 2, 4]-[4, 3, 1, 2]",2,"['[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00026947
"[3, 1, 4, 2]-[3, 4, 1, 2]",1,"['[(1, 2), (3, 4), (3, 1), (4, 2), (3, 2)]']",0.00023982
"[2, 1, 4, 3]-[4, 1, 2, 3]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00029977
"[3, 4, 2, 1]-[4, 1, 3, 2]",2,"['[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]']",0.00028603
"[2, 1, 4, 3]-[4, 2, 1, 3]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00025734
